-67,47,-0.30921,-12,-12
-20,22,-1.1176,-10,-10
-15,10,-1.2431,-10,-10
-15,15,-1.0815,-3,-3
-44,83,-1.404,-18,-18
-17,25,-0.78169,-3,-3
-10,6,-1.0221,3,3
-40,32,-0.86364,15,15
-0.876,0,-0.866,-0.857,-0.857
-0.509,0,-0.48337,-0.509,-0.509
-0.199,0,-0.049608,-0.034,-0.034
0.072,0.129,0.10169,0.072,0.072
0.705,0.952,0.85039,0.849,0.849
-0.47,0,-0.17451,-0.123,-0.123
-0.591,0,-0.48286,-0.447,-0.447
-18.062,71.562,12.337,-13,-13
-27.562,8.625,-11.016,-6.375,-6.375
-19.625,41.438,13.211,14.5,14.5
-55,62,-0.9898,17,17
-16,11,-1.0465,0,0
-12,34,-1.0206,-1,-1
-11,15,-0.96703,-2,-2
-38,59,-0.87629,5,5
-17,21,-0.88776,-4,-4
-10,15,-1.0455,1,1
-61,52,-0.96907,42,42
-0.903,0,-0.86764,-0.903,-0.903
-0.513,0,-0.44928,-0.415,-0.415
-0.283,0.012,-0.11131,0.012,0.012
0.093,0.183,0.14289,0.107,0.107
0.638,1.013,0.78426,0.793,0.793
-0.816,0,-0.29875,-0.052,-0.052
-0.755,0,-0.52544,-0.591,-0.591
-7.688,54.188,24.744,-7.062,-7.062
-53.938,57.625,-1.2091,0.75,0.75
-43.312,69.062,15.472,7.562,7.562
-41,41,-1.113,-41,-41
-17,18,-0.91589,-16,-16
-12,10,-1.2613,-7,-7
-8,15,-0.95575,-8,-8
-22,32,-0.89189,1,1
-10,8,-0.8,0,0
-11,7,-1.0891,-1,-1
-44,33,-0.58678,-15,-15
-0.885,0,-0.87109,-0.878,-0.878
-0.483,0,-0.42848,-0.429,-0.429
-0.155,0.029,-0.0072031,0.008,0.008
0.166,0.287,0.22905,0.211,0.211
0.631,0.896,0.77428,0.82,0.82
-0.395,0,-0.19586,-0.143,-0.143
-0.719,0,-0.59959,-0.608,-0.608
-23.625,63.688,15.068,-20.375,-20.375
-28,33,2.625,-8.375,-8.375
-48.562,25.438,4.6279,0.812,0.812
-64,49,-0.65323,-19,-19
-14,19,-0.84874,-9,-9
-17,25,-1.1261,-7,-7
-14,13,-0.85088,-7,-7
-38,32,-0.36885,-11,-11
-17,22,-0.61538,-2,-2
-12,8,-0.88136,-4,-4
-71,51,-0.74603,-13,-13
-0.867,0,-0.85832,-0.867,-0.867
-0.478,0,-0.42649,-0.405,-0.405
-0.104,0.076,0.046316,0.063,0.063
0.218,0.302,0.27693,0.281,0.281
0.722,0.885,0.79428,0.767,0.767
-0.419,0,-0.14649,-0.119,-0.119
-0.672,0,-0.60396,-0.648,-0.648
-9.625,103.38,18.861,-3.75,-3.75
-9.688,20.438,3.8604,4.062,4.062
-26.875,27.625,3.7412,2.312,2.312
-40,41,-1.6372,18,18
-22,24,-1.2091,-6,-6
-15,20,-1.3482,-1,-1
-14,23,-1.0556,-1,-1
-72,75,-0.5913,11,11
-28,27,-0.54867,3,3
-18,6,-0.48148,-4,-4
-57,67,-1.4348,11,11
-0.867,0,-0.86361,-0.856,-0.856
-0.514,0,-0.49358,-0.514,-0.514
-0.097,0.036,0.010263,0.018,0.018
0.057,0.126,0.093921,0.057,0.057
0.808,0.978,0.89045,0.901,0.901
-0.326,0.073,-0.059079,0.005,0.005
-0.596,0,-0.49255,-0.427,-0.427
-16.438,84.062,8.666,-14.438,-14.438
-21.812,2.875,-7.0986,-0.188,-0.188
-0.25,52.688,18.773,10.438,10.438
-31,38,-1.0526,-31,-31
-11,15,-0.84722,-2,-2
-11,15,-0.65278,-1,-1
-11,18,-0.75342,1,1
-87,35,-0.86667,-6,-6
-22,14,-1.0263,-2,-2
-12,4,-0.98438,0,0
-22,31,-1,-9,-9
-0.897,0,-0.88635,-0.896,-0.896
-0.47,0,-0.43295,-0.416,-0.416
-0.109,0.035,-0.000625,0.026,0.026
0.145,0.165,0.15722,0.15,0.15
0.75,0.859,0.80798,0.793,0.793
-0.311,0,-0.1279,-0.047,-0.047
-0.677,0,-0.59795,-0.601,-0.601
-11.312,66.562,18.008,-8,-8
-6.562,26.188,5.9876,3.188,3.188
-3.375,22.125,9.5735,1.938,1.938
-40,37,-1.2099,-1,-1
-12,12,-1.0526,-12,-12
-17,24,-0.88312,-17,-17
-15,29,-0.80822,-8,-8
-53,58,-1.8608,-24,-24
-33,36,-1.2763,-7,-7
-7,8,-0.92958,-5,-5
-48,39,-1.7875,-8,-8
-0.883,0,-0.87415,-0.878,-0.878
-0.461,0,-0.4191,-0.412,-0.412
-0.071,0.07,0.044,0.068,0.068
0.219,0.257,0.23776,0.233,0.233
0.706,0.86,0.79688,0.766,0.766
-0.346,0,-0.12,-0.006,-0.006
-0.703,0,-0.62673,-0.636,-0.636
-12.75,94.625,18.622,-6.312,-6.312
-22.375,28.188,3.218,6.25,6.25
-23.75,37,8.1782,4.125,4.125
-62,40,-0.75949,-7,-7
-24,21,-0.70886,-1,-1
-15,15,-1.0385,-10,-10
-11,18,-0.92208,-1,-1
-33,28,-1.1892,2,2
-10,18,-1.0959,10,10
-11,10,-0.90278,-2,-2
-36,43,-0.575,-8,-8
-0.859,0,-0.84566,-0.849,-0.849
-0.526,0,-0.46524,-0.436,-0.436
-0.211,0.097,8.00E-05,0.093,0.093
0.123,0.29,0.22976,0.286,0.286
0.76,0.912,0.82564,0.841,0.841
-0.438,0.018,-0.20048,-0.078,-0.078
-0.617,0,-0.51002,-0.582,-0.582
-10.25,95.188,40.985,-0.25,-0.25
-10.625,16,3.6763,2.188,2.188
-31.188,22.875,1.3675,3.312,3.312
-45,31,-1.7423,-24,-24
-14,22,-1.1263,-13,-13
-22,23,-1.2556,-22,-22
-18,11,-0.89011,-18,-18
-25,41,-0.22581,-10,-10
-13,22,-0.46591,0,0
-13,8,-0.89011,-1,-1
-62,36,-1.0808,-7,-7
-0.872,0,-0.85851,-0.845,-0.845
-0.531,0,-0.48613,-0.53,-0.53
-0.223,0.023,-0.052939,0.011,0.011
0.074,0.18,0.12687,0.074,0.074
0.69,1.032,0.84718,0.814,0.814
-0.642,0.002,-0.20021,-0.044,-0.044
-0.699,0,-0.47506,-0.418,-0.418
-19.875,58.188,14.146,-19.875,-19.875
-38.375,11.438,-11.627,-1.625,-1.625
-38.938,61.562,12.433,-7.312,-7.312
-45,35,-1.0303,-3,-3
-14,10,-1.0492,0,0
-12,9,-1.0909,2,2
-10,14,-0.896,0,0
-36,58,-0.09322,17,17
-14,26,-0.70833,0,0
-11,9,-0.86441,4,4
-42,25,-1.4962,4,4
-0.922,0,-0.89492,-0.919,-0.919
-0.473,0,-0.3984,-0.36,-0.36
-0.254,0,-0.06898,-0.012,-0.012
0.126,0.199,0.1635,0.161,0.161
-0.265,1.417,0.71096,0.661,0.661
-2.39,0.475,-0.23154,-0.093,-0.093
-1.479,0,-0.64744,-0.715,-0.715
-7.438,245.44,29.139,-7.312,-7.312
-143.75,211.81,4.5524,-0.688,-0.688
-184.81,234.81,12.345,-2.5,-2.5
-53,32,-0.27835,13,13
-15,13,-0.74725,0,0
-18,18,-0.90909,-5,-5
-15,14,-1.2717,0,0
-23,56,-1.2022,1,1
-12,30,-1.0233,4,4
-12,16,-0.88372,-2,-2
-42,35,-0.6,-7,-7
-0.886,0,-0.86024,-0.885,-0.885
-0.51,0,-0.44784,-0.418,-0.418
-0.26,0.054,-0.070636,0.054,0.054
0.09,0.25,0.19475,0.2,0.2
0.609,1.656,0.79036,0.783,0.783
